name,church,city,email,whatsapp
"Team Calvary Chapel Nashville","Calvary Chapel Nashville","Nashville","","+16157397800"
"Team Chapel at High Point Farm","Chapel at High Point Farm","Nashville","chapelathighpointfarm@gmail.com","+16155843854"
"Team Benton Chapel","Benton Chapel","Nashville","","+16153222776"
"Team Nashville Gospel Chapel","Nashville Gospel Chapel","Nashville","","+16157149584"
"Team Nashvows - Rev. Todd Rodarmel","Nashvows - Rev. Todd Rodarmel","Nashville","","+16156011151"
"Team Belmont University Chapel","Belmont University Chapel","Nashville","","+16154606000"
"Team Clementine Hall","Clementine Hall","Nashville","heythere@dragonpark.co","+16158003635"
"Team Mint Springs Farm","Mint Springs Farm","Nashville","info@mintspringsfarmtn.com","+16152125529"
"Team Passion City Church","Passion City Church","Atlanta","","+14042317080"
"Team Ebenezer Baptist Church","Ebenezer Baptist Church","Atlanta","","+14046887300"
"Team United Church Atlanta","United Church Atlanta","Atlanta","Info@unitedchurchatlanta.com","+14048007402"
"Team Buckhead Church","Buckhead Church","Atlanta","","+14048147000"
"Team Mount Paran Church","Mount Paran Church","Atlanta","jane@email.com","+14049238700"
"Team Cathedral of Christ the King","Cathedral of Christ the King","Atlanta","ask@ctking.com","+14042332145"
"Team LIFE Church of Atlanta","LIFE Church of Atlanta","Atlanta","","+14043441899"
"Team Grace Midtown Church","Grace Midtown Church","Atlanta","user@domain.com","+14042369123"
"Team Peachtree Christian Church","Peachtree Christian Church","Atlanta","user@domain.com","+14048765535"
"Team House of Hope Atlanta","House of Hope Atlanta","Atlanta","","+14042439336"
"Team The Church of The Apostles","The Church of The Apostles","Atlanta","","+14048420200"
"Team Big Bethel AME Church","Big Bethel AME Church","Atlanta","jesus.saves@bigbethelame.org","+14048279707"
"Team Cornerstone Church","Cornerstone Church","Atlanta","user@domain.com","+14045076131"
"Team North Point Community Church","North Point Community Church","Atlanta","","+16788925000"
"Team Atlanta Dream Center Church","Atlanta Dream Center Church","Atlanta","info@atlantadreamcenter.com","+17705451252"
"Team Impact Church","Impact Church","Atlanta","info@impactdcd.org","+14045772826"
"Team Community Church Atlanta","Community Church Atlanta","Atlanta","info@ccogatl.org","+14047554100"
"Team Victory Church - Midtown","Victory Church - Midtown","Atlanta","%20discoveratl@victoryatl.com","+17708499400"
"Team Vision Church of Atlanta","Vision Church of Atlanta","Atlanta","","+14046229470"
"Team Basilica of the Sacred Heart of Jesus","Basilica of the Sacred Heart of Jesus","Atlanta","","+14045226800"
"Team The dReam Center Church of Atlanta","The dReam Center Church of Atlanta","Atlanta","admin@thedreamcenterchurch.org","+17703969884"
"Team Catholic Shrine of the Immaculate Conception","Catholic Shrine of the Immaculate Conception","Atlanta","contactus@catholicshrineatlanta.org","+14045211866"
"Team Our Lady of Lourdes Catholic Church","Our Lady of Lourdes Catholic Church","Atlanta","","+14045226776"
"Team Passion City Church Cumberland","Passion City Church Cumberland","Atlanta","","+14042317080"
"Team St John's Catholic Church","St John's Catholic Church","Atlanta","mjardin@stjohnevangelist.net","+14047685647"
"Team First Presbyterian Church of Atlanta","First Presbyterian Church of Atlanta","Atlanta","user@domain.com","+14048928461"
"Team St. Luke's Episcopal Church","St. Luke's Episcopal Church","Atlanta","michelle@stlukesatlanta.org","+14048737600"
"Team Catholic Archdiocese of Atlanta","Catholic Archdiocese of Atlanta","Atlanta","pchilds@archatl.com","+14049207800"
"Team Holy Cross Catholic Church","Holy Cross Catholic Church","Atlanta","","+17709393501"
"Team International Grace Church of Atlanta","International Grace Church of Atlanta","Atlanta","","+14049182599"
"Team The Chapel on Sycamore","The Chapel on Sycamore","Atlanta","info@sycamorechapel.com","+14045934595"
"Team Free Chapel Midtown","Free Chapel Midtown","Atlanta","","+16786778300"
"Team Chapelhill Church - Atlanta","Chapelhill Church - Atlanta","Atlanta","%20shanika.joshua@chapelhill.cc","+17702930770"
"Team Pristine Chapel Lakeside","Pristine Chapel Lakeside","Atlanta","info@pristinechapellakeside.com","+16785652900"
"Team Ashton Gardens | Atlanta","Ashton Gardens | Atlanta","Atlanta","","+14048858503"
"Team The Wimbish House","The Wimbish House","Atlanta","user@domain.com","+14048708833"
"Team Juliette Chapel and Events","Juliette Chapel and Events","Atlanta","","+16789788490"
"Team Interfaith Airport Chapel","Interfaith Airport Chapel","Atlanta","ATLchapel.org@gmail.com","+14047621051"
"Team The Mobile Officiant of Atlanta LLC","The Mobile Officiant of Atlanta LLC","Atlanta","user@domain.com","+17702857366"
"Team Martin Luther King Jr. International Chapel at Morehouse College","Martin Luther King Jr. International Chapel at Morehouse College","Atlanta","kingchapel@morehouse.edu","+14042152608"
"Team Cecil B. Day Chapel","Cecil B. Day Chapel","Atlanta","","+14044205100"
"Team Free Chapel | Gainesville Campus","Free Chapel | Gainesville Campus","Atlanta","","+16786778300"
"Team The Chapel on McEver","The Chapel on McEver","Atlanta","","+16784242735"
"Team Tender Moments by Minister Thompson","Tender Moments by Minister Thompson","Atlanta","impallari@gmail.com","+16783693308"
"Team Cannon Chapel","Cannon Chapel","Atlanta","religiouslife@emory.edu","+14047276325"
"Team Interfaith Chapel","Interfaith Chapel","Atlanta","ATLchapel.org@gmail.com","+14047621051"
