name,church,city,email,whatsapp,website,address,rating,reviews
"Team Jakarta International Baptist Church","Jakarta International Baptist Church","Jakarta","ministry.assistant@jibc.or.id","+622171794624","https://jibc.or.id/","Mampang, Jl. Kemang Raya No.7 4th floor, RT.1/RW.7, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730, Indonesia",4.7,47
"Team Catholic Church Of Stella Maris Pluit","Catholic Church Of Stella Maris Pluit","Jakarta","","+62216691642","http://www.stellamarispluit.org/","Jl. Taman Pluit Permai Timur No.17, RT.4/RW.5, Pluit, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14450, Indonesia",4.8,1212
"Team Saint Christopher Catholic Church, Grogol","Saint Christopher Catholic Church, Grogol","Jakarta","sekretariat@parokigrogolkaj.or.id","+6289507953970","https://www.parokigrogolkaj.or.id/","Jl. Satria IV No.68 Blok C, RT.12/RW.4, Jelambar, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460, Indonesia",4.8,1149
"Team Grow Community Church","Grow Community Church","Jakarta","","+6281188020500","https://growcommunity.church/","Pd. Indah Mall 3, Jl. Sultan Iskandar Muda No.29 6 Lantai 3, RT.6/RW.3, Pd. Pinang, Kec. Kebayoran Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12310, Indonesia",4.7,233
"Team Covenant City Church Jakarta","Covenant City Church Jakarta","Jakarta","covenantcityc@gmail.com","","https://www.covenantcitychurch.id/","RR8J+9J7 MNC Tower, RT.15/RW.7, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340, Indonesia",4.9,36
"Team Glow Fellowship Centre","Glow Fellowship Centre","Jakarta","","+622129937555","https://www.instagram.com/glowfellowshipcentre","Thamrin Residence, Jalan Thamrin Residence Apartment LT. 3A, RT.3/RW.8, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230, Indonesia",4.8,499
"Team Bethesda Church - The House of Grace","Bethesda Church - The House of Grace","Jakarta","contact@bethesdachurch.id","+6282299799977","https://www.bethesdachurch.id/","Citihub Harton Tower, Jl. Boulevard Artha Gading No.18, RT.18/RW.8, Klp. Gading Bar., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240, Indonesia",4.8,94
"Team Sion Church","Sion Church","Jakarta","","","https://www.instagram.com/gpibsionjkt/","Jl. Pangeran Jayakarta No.1, RT.9/RW.4, Pinangsia, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11110, Indonesia",4.6,348
"Team Christ the King Catholic Church, Pejompongan","Christ the King Catholic Church, Pejompongan","Jakarta","","+62215734375","https://www.kaj.or.id/paroki/dekenat-jakarta-pusat/paroki-pejompongan-kristus-raja","Jl. Danau Toba No.56, RT.18/RW.4, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270, Indonesia",4.7,866
"Team Christ the King Church","Christ the King Church","Jakarta","user@domain.com","+6281298706478","https://www.ctkchurch.id/","SOPO DEL, Jl. Mega Kuningan Barat III No.Lot 10 1, RT.3/RW.6, Kuningan, Kuningan Tim., Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12950, Indonesia",5,12
"Team Saint Ignatius Loyola Catholic Church","Saint Ignatius Loyola Catholic Church","Jakarta","","+62213150924","","Jl. Latuharhary No.13 8, RT.8/RW.7, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310, Indonesia",4.8,662
"Team GKDI - Gereja Kristus Di Indonesia - Jakarta","GKDI - Gereja Kristus Di Indonesia - Jakarta","Jakarta","","+622121684099","","Menara Kuningan Lt. F3,Blok X7 Kav.5, Jl. H. R. Rasuna Said, RT.6/RW.7, Kuningan, Karet Kuningan, Setiabudi, South Jakarta City, Jakarta 12940, Indonesia",4.8,267
"Team Catholic Church of Saint Paschal","Catholic Church of Saint Paschal","Jakarta","sekretariatpaskalis@yahoo.co.id","+62214203743","http://www.gerejapaskalis.or.id/","Jl. Letjen Suprapto No.Kav C1/23, RT.8/RW.3, Cemp. Putih Bar., Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10520, Indonesia",4.8,685
"Team Saint John the Evangelist Catholic Church, Kebayoran Baru","Saint John the Evangelist Catholic Church, Kebayoran Baru","Jakarta","","+62217220763","https://www.instagram.com/komsosblokb","1, Jl. Melawai Raya No.197, RT.1/RW.6, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130, Indonesia",4.8,1048
"Team Gereja Kristus Yesus Mangga Besar","Gereja Kristus Yesus Mangga Besar","Jakarta","","+62216399585","https://gkymanggabesar.com/","Jl. Mangga Besar 1 No.74, RT.10/RW.4, Mangga Besar, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11180, Indonesia",4.8,534
"Team Gereja Katolik St. Yohanes Maria Vianney","Gereja Katolik St. Yohanes Maria Vianney","Jakarta","","+62218444893","http://parokivianney.org/","Jl. Bambu Wulung, RT.5/RW.3, Setu, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13880, Indonesia",4.8,857
"Team GBI Mawar Saron","GBI Mawar Saron","Jakarta","","+62811909419","https://www.mawarsaron.church/","Jl. Kelapa Hybrida Timur, RT.4/RW.3, Pegangsaan Dua, Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14250, Indonesia",4.8,754
"Team GMS Central Park","GMS Central Park","Jakarta","","+628152120080","https://gms.church/id","Central Park Mall, Gedung Tribeca Lt. 1, Jl. Letjen S. Parman No.Kav. 28, RT.12/RW.6, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470, Indonesia",4.8,294
"Team Keluarga Allah Jakarta","Keluarga Allah Jakarta","Jakarta","","+622129181340","http://www.gbika.org/","Soho Capital, Letjen S. Parman St No.28 11Th Floor, RT.12/RW.6, South Tanjung Duren, Grogol petamburan, West Jakarta City, Jakarta 11470, Indonesia",4.9,294
"Team Keuskupan Agung Jakarta","Keuskupan Agung Jakarta","Jakarta","","+62213519193ext.231","https://www.kaj.or.id/","Jl. Katedral No.7, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110, Indonesia",4.8,274
"Team Church of Santa Maria de Fatima","Church of Santa Maria de Fatima","Jakarta","","","https://www.instagram.com/smdf_toasebio","Jl. Kemenangan III No.47 3, RT.3/RW.2, Glodok, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11120, Indonesia",4.8,1465
"Team Canisius Catholic Chapel, Menteng","Canisius Catholic Chapel, Menteng","Jakarta","","+622131936464","","Jl. Menteng Raya No.64, RT.3/RW.9, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330, Indonesia",4.8,293
"Team St Theresia de Lisieux Catholic Chapel, Kebon Jeruk","St Theresia de Lisieux Catholic Chapel, Kebon Jeruk","Jakarta","","","","Jl. Karmel Raya No.48 2, RT.2/RW.4, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530, Indonesia",4.6,101
"Team Chapel of St. Carolus Borromeus","Chapel of St. Carolus Borromeus","Jakarta","","","","RS St. Carolus, Jl. Salemba Raya No.3 5, RT.3/RW.5, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440, Indonesia",4.7,75
"Team The Collective (TC) Jakarta","The Collective (TC) Jakarta","Jakarta","user@domain.com","+6282211226936","https://thecollective.global/","Menara Pondok Indah, Jl. Metro Pondok Indah No.1 Lt. 8, RT.3/RW.14, Pd. Pinang, Kec. Kebayoran Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12310, Indonesia",4.8,204
"Team All Saints Anglican Church Jakarta","All Saints Anglican Church Jakarta","Jakarta","user@domain.com","+622131935283","https://www.allsaintsjakarta.org/","Jl. Arief Rachman Hakim No.5, RT.1/RW.10, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340, Indonesia",4.8,118
"Team Kapel Katolik Biara Ursulin Santa Maria, Jakarta","Kapel Katolik Biara Ursulin Santa Maria, Jakarta","Jakarta","","+62213812404","https://santamaria.sch.id/","Jl. Ir. H. Juanda No.29, RT.1/RW.3, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120, Indonesia",4.8,104
"Team Catholic Fellowship Jakarta","Catholic Fellowship Jakarta","Jakarta","info.cfjakarta@gmail.com","","http://cfjakarta.org/","No.62, Jl. Suryo Blok Q, Jl. Suryo No.62, RT.1/RW.4, West Rawa, Kebayoran Baru, South Jakarta City, Jakarta 12180, Indonesia",4.9,17
"Team Kapel Hati Kudus Yesus - Biara Ursulin, Jakarta","Kapel Hati Kudus Yesus - Biara Ursulin, Jakarta","Jakarta","","","","Jl. Pos No.2, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710, Indonesia",5,3
"Team God's Beloved Church Jakarta (GBC Jakarta)","God's Beloved Church Jakarta (GBC Jakarta)","Jakarta","","+6287898524555","http://www.godsbeloved.org/","House of Healing Level 6 Citywalk Sudirman, l Jl. K.H. Mas Mansyur No.Kav 121 No.10, RT.7/RW.11, Karet Tengsin, Tanah Abang, Central Jakarta City, Jakarta 10220, Indonesia",4.8,10
