name,church,city,email,whatsapp,website,address,rating,reviews,all_emails,source
"Team GPIB Markus (Gereja Oikumene Bahtera Kasih)","GPIB Markus (Gereja Oikumene Bahtera Kasih)","Jakarta Selatan","","+62217800072","http://gpibmarkus.org/","Jl. Raya Cilandak KKO No. 52, RT.13/RW.5, Ragunan, Pasar Minggu, RT.13/RW.5, Cilandak Tim., Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12560, Indonesia",4.8,187,"","google_places"
"Team Cathedral of Our Lady of the Assumption","Cathedral of Our Lady of the Assumption","Jakarta Selatan","","+62213519186","http://www.katedraljakarta.or.id/index.php/gereja-katedral/","Jl. Katedral No.7B, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710, Indonesia",4.8,15118,"","google_places"
"Team Grow Community Church","Grow Community Church","Jakarta Selatan","","+6281188020500","https://growcommunity.church/","Pd. Indah Mall 3, Jl. Sultan Iskandar Muda No.29 6 Lantai 3, RT.6/RW.3, Pd. Pinang, Kec. Kebayoran Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12310, Indonesia",4.7,233,"","google_places"
"Team GBI New Wine International Church","GBI New Wine International Church","Jakarta Selatan","nwicsocmed@gmail.com","+6281286500101","http://www.nwichurch.org/","The Bellezza Shopping Arcade, Jl. Permata Hijau No.34 3rd Floor #380-382, RT.4/RW.2, Grogol Utara, Kec. Kebayoran Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12210, Indonesia",4.8,57,"nwicsocmed@gmail.com; user@domain.com","google_places"
"Team GKDI - Gereja Kristus Di Indonesia - Jakarta","GKDI - Gereja Kristus Di Indonesia - Jakarta","Jakarta Selatan","","+622121684099","","Menara Kuningan Lt. F3,Blok X7 Kav.5, Jl. H. R. Rasuna Said, RT.6/RW.7, Kuningan, Karet Kuningan, Setiabudi, South Jakarta City, Jakarta 12940, Indonesia",4.8,267,"","google_places"
"Team Christ the King Church","Christ the King Church","Jakarta Selatan","user@domain.com","+6281298706478","https://www.ctkchurch.id/","SOPO DEL, Jl. Mega Kuningan Barat III No.Lot 10 1, RT.3/RW.6, Kuningan, Kuningan Tim., Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12950, Indonesia",5,12,"user@domain.com; hello@ctkchurch.id","google_places"
"Team International Full Gospel Fellowship (IFGF) Jakarta - Balai Sarbini","International Full Gospel Fellowship (IFGF) Jakarta - Balai Sarbini","Jakarta Selatan","605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com","+6281294020876","https://www.ifgfjakarta.com/","Balai Sarbini, JL. Jend. Sudirman Kav 50, Kawasan Bisnis Granadha - Plaza Semanggi, Jl. Jend. Sudirman No.Kav. 50 1, RT.1/RW.4, Karet Semanggi, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12930, Indonesia",4.8,51,"605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com; 88170cb0c9d64f94b5821ca7fd2d55a4@sentry-next.wixpress.com; dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com; c183baa23371454f99f417f6616b724d@sentry.wixpress.com; ed436f5053144538958ad06a5005e99a@sentry.wixpress.com; 460ff4620fa44cba8df530afde949785@sentry.wixpress.com; 2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com; 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com; 78f7996315bc402f9dcb8a2f974b82d1@sentry.wixpress.com; 271e9fa3230b4eec94b02bf95780f5f2@sentry.wixpress.com","google_places"
"Team Gereja Kristus Kebayoran Baru","Gereja Kristus Kebayoran Baru","Jakarta Selatan","gkwijayakarta@yahoo.com","+62215252714","https://kebayoranbaru.gerejakristus.org/","Jl. Wijaya Karta Raya No.C2, RT.12, RT.12/RW.3, Kuningan Bar., Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12710, Indonesia",4.7,21,"gkwijayakarta@yahoo.com","google_places"
"Team Holy Cross Catholic Church, Cilincing","Holy Cross Catholic Church, Cilincing","Jakarta Utara","Sekretariatparokisalibsuci@yahoo.co.id","+62214405740","http://www.salibsucicilincing.org/","Jalan Tugu Raya No.12, RT.3/RW.14, Tugu Utara, Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14260, Indonesia",4.8,511,"Sekretariatparokisalibsuci@yahoo.co.id; 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com; dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com; c183baa23371454f99f417f6616b724d@sentry.wixpress.com; 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com; 88170cb0c9d64f94b5821ca7fd2d55a4@sentry-next.wixpress.com; 18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com; ed436f5053144538958ad06a5005e99a@sentry.wixpress.com; 460ff4620fa44cba8df530afde949785@sentry.wixpress.com; 2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com; 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com; 5d1795a2db124a268f1e1bd88f503500@sentry.wixpress.com; 271e9fa3230b4eec94b02bf95780f5f2@sentry.wixpress.com","google_places"
"Team St. John Bosco Catholic Church, Taman Sunter","St. John Bosco Catholic Church, Taman Sunter","Jakarta Utara","info@st-yohanesbosco.org","+622165300109","http://www.st-yohanesbosco.org/","Jl. Taman Sunter Indah No.13-21 Blok A3, RT.5/RW.14, Sunter Jaya, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14350, Indonesia",4.8,788,"info@st-yohanesbosco.org","google_places"
"Team GBI Mawar Saron","GBI Mawar Saron","Jakarta Utara","","+62811909419","https://www.mawarsaron.church/","Jl. Kelapa Hybrida Timur, RT.4/RW.3, Pegangsaan Dua, Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14250, Indonesia",4.8,754,"","google_places"
"Team Catholic Church Of Stella Maris Pluit","Catholic Church Of Stella Maris Pluit","Jakarta Utara","","+62216691642","http://www.stellamarispluit.org/","Jl. Taman Pluit Permai Timur No.17, RT.4/RW.5, Pluit, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14450, Indonesia",4.8,1212,"","google_places"
"Team GEREJA SUNTER CARE CITY CHURCH","GEREJA SUNTER CARE CITY CHURCH","Jakarta Utara","","+6281310333370","http://carecitychurch.com/","Jl. Agung Perkasa 8 No.43 blok K7, RT.10/RW.11, Sunter Jaya, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14350, Indonesia",4.9,65,"","google_places"
"Team Bethesda Church - The House of Grace","Bethesda Church - The House of Grace","Jakarta Utara","contact@bethesdachurch.id","+6282299799977","https://www.bethesdachurch.id/","Citihub Harton Tower, Jl. Boulevard Artha Gading No.18, RT.18/RW.8, Klp. Gading Bar., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240, Indonesia",4.8,94,"contact@bethesdachurch.id","google_places"
"Team Gereja Katolik Santo Yakobus, Kelapa Gading","Gereja Katolik Santo Yakobus, Kelapa Gading","Jakarta Utara","email@nativechurch.com","+62214501028","http://yakobus.or.id/","Jl. Pulau Raya No.1, RT.15/RW.3, Klp. Gading Bar., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240, Indonesia",4.8,1439,"email@nativechurch.com","google_places"
"Team St. Andrew Kim Tae-gon Catholic Church","St. Andrew Kim Tae-gon Catholic Church","Jakarta Utara","","+622122457027","http://ktg.or.id/","Puspa Gading Timur No.1 blok H2, RT.5/RW.2, Pegangsaan Dua, Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14250, Indonesia",4.8,1475,"","google_places"
"Team Saint Luke Catholic Church, Sunter","Saint Luke Catholic Church, Sunter","Jakarta Utara","","+62216401373","","Jl. Ancol Sel. II No.8 14, RT.5/RW.7, Sunter Agung, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14350, Indonesia",4.7,681,"","google_places"
"Team JKI Hananeel Surya","JKI Hananeel Surya","Jakarta Utara","","+6282111375577","https://www.youtube.com/@hananeelcommunitychurch","10, Jl. Agung Timur 9 No.3, RT.10/RW.11, Sunter Jaya, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14350, Indonesia",4.9,157,"","google_places"
"Team Impact Community Indonesia (ICI) Church","Impact Community Indonesia (ICI) Church","Jakarta Utara","hello@impactcommunityindonesia.org","+628119777745","https://impactcommunityindonesia.org/","Mall Of Indonesia, Jl. Boulevard Bar. Raya Lantai P3, RT.18/RW.8, Klp. Gading Bar., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240, Indonesia",4.9,161,"hello@impactcommunityindonesia.org","google_places"
"Team Logos Church (GBI Logos Ministry Indonesia)","Logos Church (GBI Logos Ministry Indonesia)","Jakarta Utara","","+6285310205759","https://www.logos.or.id/","Jl. Gading Kirana Timur IX Blok B10 No. 49, RT.7/RW.8, Klp. Gading Bar., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240, Indonesia",5,15,"","google_places"
"Team GMS Kelapa Gading","GMS Kelapa Gading","Jakarta Utara","","+628152120080","http://gms.church/","Mal Artha Gading, Lantai 3, Blok A3. 1, Jl. Artha Gading Sel. No.1, RT.18/RW.8, Klp. Gading Bar., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240, Indonesia",4.9,107,"","google_places"
"Team Tugu Church","Tugu Church","Jakarta Utara","","+62214403767","https://www.instagram.com/inforkomgpibtugu","Jl. Raya Tugu No.20 10, RT.10/RW.6, Semper Bar., Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14130, Indonesia",4.5,465,"","google_places"
"Team Grace of Christ Community Church","Grace of Christ Community Church","Jakarta Utara","","+622145864133","https://www.instagram.com/gccc.id","VV3R+MVM, Jl. Artha Gading Sel., RT.18/RW.8, Klp. Gading Bar., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240, Indonesia",4.8,40,"","google_places"
"Team Gereja Katolik Santo Fransiskus Xaverius, Tanjung Priok","Gereja Katolik Santo Fransiskus Xaverius, Tanjung Priok","Jakarta Utara","","+6281510217541","https://www.parokitanjungpriok.org/","Jl. Melati No.1, RT.1/RW.12, Rawabadak Utara, Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14230, Indonesia",4.8,361,"","google_places"
"Team True Jesus Church (TJC) Sunter","True Jesus Church (TJC) Sunter","Jakarta Utara","info@tjc.org","+62216522389","https://tjc.org/id/","Timur Raya, Jl. Danau Asri Raya No.3-8 blok C3, RT.12/RW.13, Sunter Jaya, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14360, Indonesia",4.9,66,"info@tjc.org","google_places"
"Team Gereja Tiberias Gading Nias","Gereja Tiberias Gading Nias","Jakarta Utara","","+62214504450","http://www.tiberias.or.id/","Jl. Raya Kelapa Nias Blok PD 1 No.20, RT.3/RW.18, Klp. Gading Bar., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240, Indonesia",4.8,704,"","google_places"
"Team GKJ Tanjung Priok","GKJ Tanjung Priok","Jakarta Utara","","+62214400459","http://www.gkjtp.com/","Jl. Raya Cilincing No.50, RT.14/RW.2, Cilincing, Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14120, Indonesia",4.6,90,"","google_places"
"Team IES Kelapa Gading","IES Kelapa Gading","Jakarta Utara","","+6281807073077","http://ieskg.org/","Jl. Boulevard Bar. Raya No.1, RT.2/RW.9, Klp. Gading Bar., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240, Indonesia",4.8,36,"","google_places"
"Team Saint Christopher Catholic Church, Grogol","Saint Christopher Catholic Church, Grogol","Jakarta Barat","sekretariat@parokigrogolkaj.or.id","+6289507953970","https://www.parokigrogolkaj.or.id/","Jl. Satria IV No.68 Blok C, RT.12/RW.4, Jelambar, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460, Indonesia",4.8,1149,"sekretariat@parokigrogolkaj.or.id","google_places"
"Team Parish Church of Our Lady of Carmel [M.B.K.] of Kemanggisan","Parish Church of Our Lady of Carmel [M.B.K.] of Kemanggisan","Jakarta Barat","sekretariat@parokitomang.or.id","+62215350435","http://www.parokitomang.or.id/","Jl. Karmel Raya No.2, RT.9/RW.4, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530, Indonesia",4.8,3830,"sekretariat@parokitomang.or.id","google_places"
"Team GMS Central Park","GMS Central Park","Jakarta Barat","","+628152120080","https://gms.church/id","Central Park Mall, Gedung Tribeca Lt. 1, Jl. Letjen S. Parman No.Kav. 28, RT.12/RW.6, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470, Indonesia",4.8,294,"","google_places"
"Team Saint Andrew Catholic Church, Kedoya","Saint Andrew Catholic Church, Kedoya","Jakarta Barat","sekretariatgrj@standreaskedoya.or.id","+62215824971","http://www.standreaskedoya.or.id/","Jl. Komp. Green Garden No.1 Blok J5, RT.1/RW.4, Kedoya Utara, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11520, Indonesia",4.8,776,"sekretariatgrj@standreaskedoya.or.id; sekretariat@standreaskedoya.or.id","google_places"
"Team GBI Jakarta Family Church","GBI Jakarta Family Church","Jakarta Barat","","+622153660814","https://www.instagram.com/jakartafamilychurch/","Graha Kencana, Jl. Perjuangan, RT.11/RW.10, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530, Indonesia",4.7,38,"","google_places"
"Team Gereja Katolik Maria Kusuma Karmel, Meruya","Gereja Katolik Maria Kusuma Karmel, Meruya","Jakarta Barat","kontak@mkk.or.id","+62215858047","https://mkk.or.id/","Jl. Kusuma No.1, RT.2/RW.6, Meruya Sel., Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11650, Indonesia",4.8,1235,"kontak@mkk.or.id","google_places"
"Team Gereja Orthodox Jakarta Barat 3 Hirarki Kudus","Gereja Orthodox Jakarta Barat 3 Hirarki Kudus","Jakarta Barat","","+6281222477124","https://www.instagram.com/orthodoxdiaryindo?igsh=ZWlod2g1MnMwYW5v","Rukan Sentra Niaga, Jl. Green Lake City Boulevard No.11, RT.6/RW.8, Duri Kosambi, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11750, Indonesia",5,17,"","google_places"
"Team GRII Kebon Jeruk","GRII Kebon Jeruk","Jakarta Barat","sekretariat@griikebonjeruk.org","5000000","http://griikebonjeruk.org/","Kompleks, Jl. Meruya Ilir Raya No.88 1, RT.1/RW.5, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11620, Indonesia",4.9,193,"sekretariat@griikebonjeruk.org","google_places"
"Team GKBJ Taman Kencana – Jakarta Christian Baptist Church","GKBJ Taman Kencana – Jakarta Christian Baptist Church","Jakarta Barat","","+62215552868","https://linktr.ee/gkbj.taken","Komplek Taman Kencana, RT.2/RW.12, Cengkareng Bar., Kecamatan Cengkareng, Jakarta, Daerah Khusus Ibukota Jakarta 11730, Indonesia",4.9,89,"","google_places"
"Team Catholic Church of Christ Salvator, Slipi","Catholic Church of Christ Salvator, Slipi","Jakarta Barat","","+62215481844","https://www.salvatorslipi.org/","K S. Tubun Raya No.128, RT.2/RW.7, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11420, Indonesia",4.8,618,"","google_places"
"Team Catholic Church St. Thomas the Apostle","Catholic Church St. Thomas the Apostle","Jakarta Barat","","+62215810977","https://sathora.or.id/","Jl. Pakis Raya No.20, RT.10/RW.7, Rw. Buaya, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11740, Indonesia",4.8,1122,"","google_places"
"Team Gereja Santo Polikarpus, Paroki Grogol - Jakarta","Gereja Santo Polikarpus, Paroki Grogol - Jakarta","Jakarta Barat","Jadwalkatolik@gmail.com","+6289507953970","https://jadwalmisa.id/cari/dki-jakarta/kota-jakarta-barat/gereja-stasi-santo-polikarpus","RQQW+HG4, Jl. Dr. Nurdin IV No.5, RT.5/RW.7, Grogol, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11450, Indonesia",4.9,123,"Jadwalkatolik@gmail.com","google_places"
"Team Gereja Kemuliaan Sion Light to the Nations","Gereja Kemuliaan Sion Light to the Nations","Jakarta Barat","","+6285100887760","https://gks-l2dn.org/","Wisma RMK Lt. 4, Jl. Puri Kencana No.1 Blok M4, RT.2/RW.7, Kembangan Sel., Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610, Indonesia",5,65,"","google_places"
"Team Nafiri Discipleship Church (NDC) - Central Park","Nafiri Discipleship Church (NDC) - Central Park","Jakarta Barat","","+622156985388","http://www.ndcministry.org/","RT.12/RW.6, South Tanjung Duren, Kebonjeruk, West Jakarta City, Jakarta 11470, Indonesia",4.8,394,"","google_places"
"Team New Jakarta Church","New Jakarta Church","Jakarta Barat","","+6285174258835","","Sentra Niaga Puri Indah, Jl. Puri Indah Raya No.2 Blok T2, RT.1/RW.2, South Kembangan, Kembangan, West Jakarta City, Jakarta 11610, Indonesia",5,12,"","google_places"
"Team GBI WFC (Worshipper Family Church)","GBI WFC (Worshipper Family Church)","Jakarta Barat","","+6285810006000","http://www.gbiwfc.org/","Jl. Daan Mogot No.6, RT.13/RW.3, Wijaya Kusuma, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460, Indonesia",4.9,72,"","google_places"
"Team Saint Mary Immaculate Catholic Church, Kalideres","Saint Mary Immaculate Catholic Church, Kalideres","Jakarta Barat","sekretariat@gerejasmi.or.id","+622129405097","http://www.gerejasmi.or.id/","Jl. Satu Maret No.27 1, RT.2/RW.13, Pegadungan, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11830, Indonesia",4.8,1212,"sekretariat@gerejasmi.or.id; Sekretariat@gerejasmi.or.id","google_places"
"Team Cathedral of Our Lady of the Assumption","Cathedral of Our Lady of the Assumption","Jakarta Barat","","+62213519186","http://www.katedraljakarta.or.id/index.php/gereja-katedral/","Jl. Katedral No.7B, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710, Indonesia",4.8,15118,"","google_places"
"Team GBI Tanjung Duren","GBI Tanjung Duren","Jakarta Barat","","+622156964694","http://instagram.com/gbitanjungduren","JL. Tanjung Duren Barat 1, Blok G No. 1D-1L, RT.13/RW.9, Duri Kepa, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470, Indonesia",4.7,159,"","google_places"
"Team Gereja Tiberias Jakarta - Puri Indah","Gereja Tiberias Jakarta - Puri Indah","Jakarta Barat","",".012.30.1777.1","http://tiberias.or.id/","Financial Tower, Jl. Puri Indah Raya, RT.1/RW.2, Kembangan Sel., Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610, Indonesia",4.7,46,"","google_places"
