name,church,city,email,whatsapp,website,address,rating,reviews
"Team Church of the City - Downtown","Church of the City - Downtown","Nashville","info@churchofthecity.com","","https://cotc.com/downtown/","601 4th Ave S, Nashville, TN 37210, USA",4.7,42
"Team Highland Park Church","Highland Park Church","Nashville","","+16153525710","http://www.highlandparkchurch.com/","5710 Knob Rd, Nashville, TN 37209, USA",4.9,48
"Team Christ Church Cathedral","Christ Church Cathedral","Nashville","","+16152557729","http://christcathedral.org/","900 Broadway, Nashville, TN 37203, USA",4.8,150
"Team Fellowship Nashville","Fellowship Nashville","Nashville","thoeks@fbctn.org","+16156564426","http://fellowshipnashville.church/","521 McIver St, Nashville, TN 37211, USA",4.9,40
"Team Nashville First Baptist Church","Nashville First Baptist Church","Nashville","","+16156646000","https://nashvillefirst.org/","108 7th Ave S, Nashville, TN 37203, USA",4.5,125
"Team We Are Church Nashville","We Are Church Nashville","Nashville","shantel@wearechurchnashville.com","+16154450240","http://www.wearechurchnashville.com/","1501 Hadley Ave, Old Hickory, TN 37138, USA",4.8,42
"Team Grace Church: Nashville","Grace Church: Nashville","Nashville","gracechurchnashville@yahoo.com","+16155998057","http://www.gracechurchnashville.com/","1097 Murfreesboro Rd, Franklin, TN 37064, USA",4.9,66
"Team Way Church","Way Church","Nashville","info@waychurch.com","+16292881400","http://www.waychurch.com/","1 Cannery Row, Nashville, TN 37203, USA",4.6,50
"Team St. Mary of the Seven Sorrows","St. Mary of the Seven Sorrows","Nashville","","+16152561704","https://stmarysdowntown.org/","328 Rep John Lewis Way N*, Nashville, Nashville, TN 37219, USA",4.7,331
"Team Hope Church","Hope Church","Nashville","user@domain.com","+16155436464","http://hopechurchnashville.com/","1215 Gallatin Ave, Nashville, TN 37206, USA",4.8,25
"Team Immanuel Nashville","Immanuel Nashville","Nashville","office@immanuelnashville.com","","http://www.immanuelnashville.com/","4301 Charlotte Ave, Nashville, TN 37209, USA",4.8,65
"Team Cathedral of the Incarnation","Cathedral of the Incarnation","Nashville","example@mysite.com","+16153272330","http://cathedralnashville.org/","2015 West End Ave, Nashville, TN 37203, USA",4.8,380
"Team Church Of The Holy Rosary","Church Of The Holy Rosary","Nashville","user@domain.com","+16158894065","https://www.holyrosarynashville.org/","192 Graylynn Dr, Nashville, TN 37214, USA",4.9,125
"Team Iglesia Sagrado Corazon de Jesus","Iglesia Sagrado Corazon de Jesus","Nashville","","+16153913714","https://www.iglesiasagradocorazon.com/","2800 McGavock Pk Entrance #4, Nashville, TN 37214, USA",4.8,390
"Team The Diocese of Nashville","The Diocese of Nashville","Nashville","john.hammond@dioceseofnashville.com","+16153836393","https://dioceseofnashville.com/","2800 McGavock Pk Entrance #4, Nashville, TN 37214, USA",4.8,189
"Team Christ the King Catholic Church","Christ the King Catholic Church","Nashville","","+16152922884","http://www.ctk.org/","3001 Belmont Blvd, Nashville, TN 37212, USA",4.8,132
"Team St. Henry Catholic Church","St. Henry Catholic Church","Nashville","user@domain.com","+16153522259","http://www.sthenry.org/","6401 Harding Pike, Nashville, TN 37205, USA",4.8,252
"Team Our Lady Guadalupe Catholic Church","Our Lady Guadalupe Catholic Church","Nashville","olog3112@gmail.com","+16153338660","http://www.nsdeguadalupe.org/","3112 Nolensville Pk, Nashville, TN 37211, USA",4.8,297
"Team Assumption Church","Assumption Church","Nashville","","+16152562729","https://www.assumptionnashville.org/","1227 7th Ave N, Nashville, TN 37208, USA",4.8,111
"Team St. Patrick Catholic Church","St. Patrick Catholic Church","Nashville","","+16152566498","http://stpatricksnashville.org/","1219 2nd Ave S, Nashville, TN 37210, USA",4.8,57
"Team Holy Name Catholic Church","Holy Name Catholic Church","Nashville","","+16152548847","http://www.holynamenashville.com/","521 Woodland St, Nashville, TN 37206, USA",4.6,58
"Team Glendale United Methodist Church - Nashville","Glendale United Methodist Church - Nashville","Nashville","steph@glendaleumc.org","+16152976233","http://glendaleumc.org/","900 Glendale Ln, Nashville, TN 37204, USA",4.5,79
"Team Zeal Church","Zeal Church","Nashville","","","https://www.zealchurch.tv/","5807 Charlotte Pike, Nashville, TN 37209, USA",4.7,108
"Team Greater Nashville Church","Greater Nashville Church","Nashville","","+16152806170","http://www.greaternashvillechurch.org/","3646 Murfreesboro Pike, Antioch, TN 37013, USA",4.7,62
"Team St. Ann Catholic Church","St. Ann Catholic Church","Nashville","","+16152981782","http://www.saintannparish.com/","5101 Charlotte Ave, Nashville, TN 37209, USA",4.7,102
"Team The Downtown Presbyterian Church","The Downtown Presbyterian Church","Nashville","info@dpchurch.com","+16152547584","http://www.dpchurch.com/","154 Rep. John Lewis Way N, Nashville, TN 37219, USA",4.6,114
"Team Rhinestone Wedding Chapel","Rhinestone Wedding Chapel","Nashville","","+16155968100","https://www.rhinestoneweddingchapel.com/","1829 Old Murfreesboro Pike, Nashville, TN 37217, USA",4.8,261
"Team White Velvet Chapel | Weddings & Elopements Nashville","White Velvet Chapel | Weddings & Elopements Nashville","Nashville","user@domain.com","","https://www.whitevelvetchapel.com/","1321 3rd Ave N, Nashville, TN 37208, USA",5,45
"Team Skinner Chapel at Scarritt Bennett Center","Skinner Chapel at Scarritt Bennett Center","Nashville","weddings@scarrittbennett.org","+16153407500","http://scarrittbennett.org/weddings","Fondren Hall - First Floor Scaritt Bennett Center, 1031 18th Ave S, Nashville, TN 37212, USA",4.8,46
"Team The Village Chapel","The Village Chapel","Nashville","","+16152974747","https://thevillagechapel.com/","2021 21st Ave S, Nashville, TN 37212, USA",4.8,67
"Team Rich Events","Rich Events","Nashville","","+16153052021","http://richevents.org/","Acklen Ave &, Belmont Blvd, Nashville, TN 37212, USA",5,27
"Team Wightman Chapel at Scarritt Bennett Center","Wightman Chapel at Scarritt Bennett Center","Nashville","weddings@scarrittbennett.org","+16153407500","http://www.scarrittbennett.org/weddings","1110 19th Ave S, Nashville, TN 37212, USA",4.3,29
"Team The Chapel at Firefly Lane","The Chapel at Firefly Lane","Nashville","info@ndiscovered.com","+18653813870","http://fireflylaneevents.com/","1406 Big Bartons Creek Rd, Dickson, TN 37055, USA",4.9,178
"Team The Chapel At Three Oaks","The Chapel At Three Oaks","Nashville","Caitlyn@3oakschurch.com","+16159891515","https://www.threeoakschapel.com/","502 Douglas Bend Rd, Gallatin, TN 37066, USA",4.9,27
"Team TN Tiny Weddings","TN Tiny Weddings","Nashville","","+16156868367","https://tntinyweddings.com/","4821 Alvin Sperry Rd, Mt. Juliet, TN 37122, USA",5,84
"Team Scarritt Bennett Center","Scarritt Bennett Center","Nashville","sales@scarrittbennett.org","+16153407500","http://scarrittbennett.org/","1027 18th Ave S, Nashville, TN 37212, USA",4.6,300
"Team Marry Me of Tennessee","Marry Me of Tennessee","Nashville","","+16155620952","https://www.marrymeoftennessee.com/","520 W Lytle St A, Murfreesboro, TN 37130, USA",4.9,418
"Team Calvary Chapel Nashville","Calvary Chapel Nashville","Nashville","","+16157397800","https://calvarychapelnashville.com/","630 Benton Ave, Nashville, TN 37204, USA",4.6,20
"Team Chapel at High Point Farm","Chapel at High Point Farm","Nashville","chapelathighpointfarm@gmail.com","+16155843854","https://chapelathighpointfarm.com/","6117 Old Hickory Blvd, Whites Creek, TN 37189, USA",4.8,18
"Team Benton Chapel","Benton Chapel","Nashville","","+16153222776","https://www.vanderbilt.edu/religiouslife/facilities/benton-chapel","Divinity School, 411 21st Ave S, Nashville, TN 37240, USA",4.8,16
"Team Nashville Gospel Chapel","Nashville Gospel Chapel","Nashville","","+16157149584","https://www.nashvillegospelchapel.org/","7305 Sonya Dr, Nashville, TN 37209, USA",4.9,16
"Team Nashvows - Rev. Todd Rodarmel","Nashvows - Rev. Todd Rodarmel","Nashville","","+16156011151","https://nashvows.com/","1717A 6th Ave N, Nashville, TN 37208, USA",5,46
"Team Belmont University Chapel","Belmont University Chapel","Nashville","","+16154606000","https://www.belmont.edu/events/chapel.html","1803 15th Ave S, Nashville, TN 37212, USA",5,2
"Team Little Brick Chapel","Little Brick Chapel","Nashville","","","http://www.littlebrickchapel.com/","500 Old Highway 31 E, Bethpage, TN 37022, USA",5,17
"Team Clementine Hall","Clementine Hall","Nashville","heythere@dragonpark.co","+16158003635","https://www.clementinehall.com/","4710 Charlotte Ave, Nashville, TN 37209, USA",4.7,145
"Team Mint Springs Farm","Mint Springs Farm","Nashville","info@mintspringsfarmtn.com","+16152125529","http://www.mintspringsfarmtn.com/","7730 Nolensville Rd, Nolensville, TN 37135, USA",4.9,157
"Team Passion City Church","Passion City Church","Atlanta","","+14042317080","http://www.passioncitychurch.com/atlanta/515","515 Garson Dr NE, Atlanta, GA 30324, USA",4.8,674
"Team Ebenezer Baptist Church","Ebenezer Baptist Church","Atlanta","","+14046887300","https://ebenezeratl.org/","101 Jackson St NE, Atlanta, GA 30312, USA",4.8,1295
"Team United Church Atlanta","United Church Atlanta","Atlanta","Info@unitedchurchatlanta.com","+14048007402","http://www.unitedchurchatlanta.com/","1084 Woodland Ave SE, Atlanta, GA 30316, USA",4.8,45
"Team Buckhead Church","Buckhead Church","Atlanta","","+14048147000","https://buckheadchurch.org/","3336 Peachtree Rd NE, Atlanta, GA 30326, USA",4.6,481
"Team Mount Paran Church","Mount Paran Church","Atlanta","jane@email.com","+14049238700","https://mountparan.com/","2055 Mt Paran Rd NW, Atlanta, GA 30327, USA",4.8,565
"Team Cathedral of Christ the King","Cathedral of Christ the King","Atlanta","ask@ctking.com","+14042332145","https://cathedralctk.com/","2699 Peachtree Rd, Atlanta, GA 30305, USA",4.8,730
"Team LIFE Church of Atlanta","LIFE Church of Atlanta","Atlanta","","+14043441899","http://lifechurchofatlanta.org/","3243 Stone Rd SW, Atlanta, GA 30331, USA",4.7,55
"Team Grace Midtown Church","Grace Midtown Church","Atlanta","user@domain.com","+14042369123","http://gracemidtownchurch.com/","579 Travis St NW, Atlanta, GA 30318, USA",4.7,124
"Team 2819 CHURCH","2819 CHURCH","Atlanta","","","http://www.2819church.org/","3350 Greenbriar Pkwy SW, Atlanta, GA 30331, USA",4.9,1118
"Team Peachtree Christian Church","Peachtree Christian Church","Atlanta","user@domain.com","+14048765535","http://www.peachtree.org/","1580 Peachtree St NE, Atlanta, GA 30309, USA",4.5,75
"Team House of Hope Atlanta","House of Hope Atlanta","Atlanta","","+14042439336","http://www.hohatl.org/","4650 Flat Shoals Pkwy, Decatur, GA 30034, USA",4.8,537
"Team The Church of The Apostles","The Church of The Apostles","Atlanta","","+14048420200","http://apostles.org/","3585 Northside Pkwy NW, Atlanta, GA 30327, USA",4.6,243
"Team Big Bethel AME Church","Big Bethel AME Church","Atlanta","jesus.saves@bigbethelame.org","+14048279707","http://www.bigbethelame.org/","220 Auburn Ave NE, Atlanta, GA 30303, USA",4.8,92
"Team Cornerstone Church","Cornerstone Church","Atlanta","user@domain.com","+14045076131","http://cornerstoneatl.org/","1303 Ralph David Abernathy Blvd SW, Atlanta, GA 30310, USA",5,46
"Team North Point Community Church","North Point Community Church","Atlanta","","+16788925000","https://northpoint.org/","4350 North Point Pkwy, Alpharetta, GA 30022, USA",4.6,910
"Team Atlanta Dream Center Church","Atlanta Dream Center Church","Atlanta","info@atlantadreamcenter.com","+17705451252","http://www.atlantadreamcenter.com/","635 Angier Ave NE, Atlanta, GA 30308, USA",4.9,41
"Team Impact Church","Impact Church","Atlanta","info@impactdcd.org","+14045772826","https://www.impactdcd.org/","2323 Sylvan Rd, Atlanta, GA 30344, USA",4.6,293
"Team Community Church Atlanta","Community Church Atlanta","Atlanta","info@ccogatl.org","+14047554100","http://www.ccogatl.org/","850 Cascade Ave SW, Atlanta, GA 30311, USA",4.8,31
"Team Victory Church - Midtown","Victory Church - Midtown","Atlanta","%20discoveratl@victoryatl.com","+17708499400","http://victoryatl.com/midtown/","1429 Fairmont Ave NW, Atlanta, GA 30318, USA",4.8,137
"Team Vision Church of Atlanta","Vision Church of Atlanta","Atlanta","","+14046229470","http://www.visioncathedral.com/","704 Ormewood Ave SE, Atlanta, GA 30312, USA",4.7,139
"Team Basilica of the Sacred Heart of Jesus","Basilica of the Sacred Heart of Jesus","Atlanta","","+14045226800","http://www.sacredheartatlanta.org/","353 Peachtree St NE, Atlanta, GA 30308, USA",4.8,580
"Team The dReam Center Church of Atlanta","The dReam Center Church of Atlanta","Atlanta","admin@thedreamcenterchurch.org","+17703969884","https://www.dreamcenteratl.org/","2600 H F Shepherd Dr, Decatur, GA 30034, USA",4.8,580
"Team Catholic Shrine of the Immaculate Conception","Catholic Shrine of the Immaculate Conception","Atlanta","contactus@catholicshrineatlanta.org","+14045211866","http://www.catholicshrineatlanta.org/","48 M.L.K. Jr Dr SW, Atlanta, GA 30303, USA",4.7,321
"Team Our Lady of Lourdes Catholic Church","Our Lady of Lourdes Catholic Church","Atlanta","","+14045226776","http://lourdesatlanta.org/","25 Boulevard NE, Atlanta, GA 30312, USA",4.8,247
"Team Passion City Church Cumberland","Passion City Church Cumberland","Atlanta","","+14042317080","https://passioncitychurch.com/atlanta/cumberland/","2625 Cumberland Pkwy SE, Atlanta, GA 30339, USA",4.7,138
"Team St John's Catholic Church","St John's Catholic Church","Atlanta","mjardin@stjohnevangelist.net","+14047685647","http://www.stjohnevangelist.net/","230 Arnold St, Hapeville, GA 30354, USA",4.6,111
"Team First Presbyterian Church of Atlanta","First Presbyterian Church of Atlanta","Atlanta","user@domain.com","+14048928461","http://www.firstpresatl.org/","1328 Peachtree St NE, Atlanta, GA 30309, USA",4,60
"Team St. Luke's Episcopal Church","St. Luke's Episcopal Church","Atlanta","michelle@stlukesatlanta.org","+14048737600","http://www.stlukesatlanta.org/","435 Peachtree St NE, Atlanta, GA 30308, USA",4.6,30
"Team Catholic Archdiocese of Atlanta","Catholic Archdiocese of Atlanta","Atlanta","pchilds@archatl.com","+14049207800","http://www.archatl.com/","2401 Lake Park Dr SE, Smyrna, GA 30080, USA",4.7,76
"Team Holy Cross Catholic Church","Holy Cross Catholic Church","Atlanta","","+17709393501","http://www.holycrossatlanta.org/","3773 Chamblee Tucker Rd, Atlanta, GA 30341, USA",4.7,350
"Team International Grace Church of Atlanta","International Grace Church of Atlanta","Atlanta","","+14049182599","http://igca.us/","2512 N Druid Hills Rd, Atlanta, GA 30329, USA",4,4
"Team The Chapel on Sycamore","The Chapel on Sycamore","Atlanta","info@sycamorechapel.com","+14045934595","http://sycamorechapel.com/","318 Sycamore St, Decatur, GA 30030, USA",4.9,762
"Team Free Chapel Midtown","Free Chapel Midtown","Atlanta","","+16786778300","https://freechapel.org/midtown","173 14th St NE, Atlanta, GA 30309, USA",4.6,54
"Team Chapelhill Church - Atlanta","Chapelhill Church - Atlanta","Atlanta","%20shanika.joshua@chapelhill.cc","+17702930770","https://chapelhill.cc/atlanta/","4330 Washington Rd, Atlanta, GA 30344, USA",4.8,165
"Team Pristine Chapel Lakeside","Pristine Chapel Lakeside","Atlanta","info@pristinechapellakeside.com","+16785652900","https://pristinechapel.com/","7541 Mt Zion Blvd, Jonesboro, GA 30236, USA",4.7,599
"Team Ashton Gardens | Atlanta","Ashton Gardens | Atlanta","Atlanta","","+14048858503","https://waltersweddingestates.com/venues/ashton-gardens-atlanta/","260 Peachtree Industrial Blvd, Sugar Hill, GA 30518, USA",4.7,1286
"Team The Wimbish House","The Wimbish House","Atlanta","user@domain.com","+14048708833","https://www.thewimbishhouse.com/","1150 Peachtree St NE, Atlanta, GA 30309, USA",4.8,408
"Team Juliette Chapel and Events","Juliette Chapel and Events","Atlanta","","+16789788490","http://juliettechapel.com/","497 GA-52 West, Dahlonega, GA 30533, USA",4.8,324
"Team Interfaith Airport Chapel","Interfaith Airport Chapel","Atlanta","ATLchapel.org@gmail.com","+14047621051","http://www.atlchapel.org/","Hartsfield-Jackson Atlanta International Airport, 6000 N Terminal Pkwy, Atlanta, GA 30320, USA",4.6,34
"Team The Mobile Officiant of Atlanta LLC","The Mobile Officiant of Atlanta LLC","Atlanta","user@domain.com","+17702857366","http://www.themobileofficiantatlanta.com/","120 W Trinity Pl, Decatur, GA 30030, USA",4.7,79
"Team Martin Luther King Jr. International Chapel at Morehouse College","Martin Luther King Jr. International Chapel at Morehouse College","Atlanta","kingchapel@morehouse.edu","+14042152608","https://morehouse.edu/life/locations/mlk-chapel","830 Westview Dr SW, Atlanta, GA 30314, USA",4.9,96
"Team Cecil B. Day Chapel","Cecil B. Day Chapel","Atlanta","","+14044205100","https://www.cartercenter.org/about/facilities/spaces-and-fees/ivan_allen_pavilion.html","453 John Lewis Freedom Pkwy NE, Atlanta, GA 30307, USA",5,5
"Team Free Chapel | Gainesville Campus","Free Chapel | Gainesville Campus","Atlanta","","+16786778300","https://www.freechapel.org/","3001 McEver Rd, Gainesville, GA 30504, USA",4.8,1253
"Team The Chapel on McEver","The Chapel on McEver","Atlanta","","+16784242735","https://www.thechapelonmcever.com/","3001 McEver Rd #5563, Gainesville, GA 30504, USA",4.7,61
