name,church,city,email,whatsapp,website,category,source,all_emails
"CRÜ Corner Bistro","CRÜ Corner Bistro","Jl. Kemang Raya No.12, RT.10/RW.5, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730, Indonesia","CONTACT@CRU.CO.ID","+622171791402","https://www.cru.co.id/","country_office","google_places","CONTACT@CRU.CO.ID"
"Conflict Resolution Unit (CRU)","Conflict Resolution Unit (CRU)","Duta Pakuan, Jl. Danau Sentani No.21 Blok C5 No, RT.01/RW.06, Tegallega, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16129, Indonesia","","+628119107543","https://www.conflictresolutionunit.id/en/home","country_office","google_places",""
"Wahana Visi Indonesia","Wahana Visi Indonesia","16, Jl. K.H. Wahid Hasyim No.33, RT.16/RW.6, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340, Indonesia","indonesia_procurement@wvi.org","+622131927467","http://wahanavisi.org/","country_office","google_places","indonesia_procurement@wvi.org"
"Compassion Indonesia","Compassion Indonesia","Jl. Moch. Ramdan No.45a, Ciateul, Kec. Regol, Kota Bandung, Jawa Barat 40253, Indonesia","","","","country_office","google_places",""
"Billy Graham Training Center at The Cove","Billy Graham Training Center at The Cove","1 Porters Cove Rd, Asheville, NC 28805, USA","","+18287714800","http://www.thecove.org/","country_office","google_places",""
"Impact Community Indonesia (ICI) Church","Impact Community Indonesia (ICI) Church","Mall Of Indonesia, Jl. Boulevard Bar. Raya Lantai P3, RT.18/RW.8, Klp. Gading Bar., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240, Indonesia","hello@impactcommunityindonesia.org","+628119777745","https://impactcommunityindonesia.org/","country_office","google_places","hello@impactcommunityindonesia.org"
"Billy Graham Evangelistic Association","Billy Graham Evangelistic Association","1 Billy Graham Pkwy, Charlotte, NC 28217, USA","","+17044012432","http://www.billygraham.org/","country_office","google_places",""
"Billy Graham Library","Billy Graham Library","4330 Westmont Dr, Charlotte, NC 28217, USA","","+17044013200","https://billygrahamlibrary.org/","country_office","google_places",""
"GBI Mawar Saron","GBI Mawar Saron","Jl. Kelapa Hybrida Timur, RT.4/RW.3, Pegangsaan Dua, Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14250, Indonesia","","+62811909419","https://www.mawarsaron.church/","country_office","google_places",""
"Focus on the Family Indonesia","Focus on the Family Indonesia","Summarecon Serpong, Ruko Graha Boulevard Jl. Gading Serpong Boulevard, Curug Sangereng, BVA1, Kabupaten Tangerang, Banten 15810, Indonesia","contact@fotf.id","+6285367777140","https://focusonthefamily.id/","country_office","google_places","contact@fotf.id"
"Samaritan's Purse Australia & New Zealand","Samaritan's Purse Australia & New Zealand","13 Binney Rd, Kings Park NSW 2148, Australia","","+611300884468","http://www.samaritanspurse.org.au/","country_office","google_places",""
"Yayasan YASKI","Yayasan YASKI","Heartline Center, Lippo Village Karawaci, Villa Permata Lippo Village, Jl. Permata Sari No.1000 Lt. 4, Binong, Kec. Curug, Kabupaten Tangerang, Banten 15810, Indonesia","humas@yaski.co.id","+622159494223","https://yaski.co.id/","country_office","google_places","humas@yaski.co.id"
"Trans World Radio","Trans World Radio","300 Gregson Dr, Cary, NC 27511, USA","","+18004567897","https://www.twr.org/","country_office","google_places",""
"Team Gekari HOPE","Gekari HOPE","The East Tower, Jl. DR. Ide Anak Agung Gde Agung No.Lt 8 Lt 8, RT.5/RW.2, Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12950, Indonesia","","+6285785516244","","prayer_ministry","google_places",""
"Team The Door Ministry Indonesia","The Door Ministry Indonesia","Jl. Taman Palem Mutiara No.3 Ruko D1, RT.7/RW.14, Cengkareng Tim., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730, Indonesia","info@thedoorindonesia.com","+628131101899","http://www.tdmcengkareng.id/","prayer_ministry","google_places","info@thedoorindonesia.com"
"Team House of Sacrifice ( Taman Doa Depok )","House of Sacrifice ( Taman Doa Depok )","Jl. Jambu No.35, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16431, Indonesia","","+622122910367","https://houseofsacrificedpk.org/","prayer_ministry","google_places",""
"Team IES Jakarta Ministry Center","IES Jakarta Ministry Center","Jl. RC. Veteran Raya No.3, RT.3/RW.11, Bintaro, Kec. Pesanggrahan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12330, Indonesia","","+62818830656","http://www.iesjakarta.org/","prayer_ministry","google_places",""
"Team GMS Cikarang","GMS Cikarang","Pollux Mall Chadstone, Jl. Raya Cikarang - Cibarusah Lt. LG, Pasirsari, Cikarang Sel., Kabupaten Bekasi, Jawa Barat 17530, Indonesia","","+628152120080","https://jakarta.gms.church/","prayer_ministry","google_places",""
"Team IES Jakarta","IES Jakarta","TCC Batavia, 8th floor, Karet Tengsin, Tanah Abang, Jakarta, 10250, Indonesia","","+6281268886437","https://www.iesjakarta.org/","prayer_ministry","google_places",""
"Team Indonesian Reformed Evangelical Church","Indonesian Reformed Evangelical Church","Reformed Millennium Center Indonesia, Jl. Industri Raya Blok B14 No.Kav. 1, RT.9/RW.10, Gn. Sahari Sel., Kec. Kemayoran, Jkt Utara, Daerah Khusus Ibukota Jakarta 10720, Indonesia","","+622165867811","http://www.grii.org/","prayer_ministry","google_places",""
"Team Bethesda Church - The House of Grace","Bethesda Church - The House of Grace","Citihub Harton Tower, Jl. Boulevard Artha Gading No.18, RT.18/RW.8, Klp. Gading Bar., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240, Indonesia","contact@bethesdachurch.id","+6282299799977","https://www.bethesdachurch.id/","prayer_ministry","google_places","contact@bethesdachurch.id"
"Team FGBMFI INDONESIA","FGBMFI INDONESIA","Jl. Graha Cemp. Mas Jl. Letjen Suprapto No.11 Blok E, RW.8, Sumur Batu, Kemayoran, Central Jakarta City, Jakarta 10640, Indonesia","","+622142882988","","prayer_ministry","google_places",""
"Team Lembah Karmel Retreat Center","Lembah Karmel Retreat Center","Lembah Karmel, Kp. Panyirapan, RT.03/RW.02, Cikanyere, Kec. Sukaresmi, Kabupaten Cianjur, Jawa Barat 43254, Indonesia","","+62263582062","http://www.carmelia.net/","prayer_ministry","google_places",""
"Team House of Prayer Church","House of Prayer Church","Jl. Jemb. Dua Raya No.2 5, RT.5/RW.4, Pejagalan, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14450, Indonesia","contact@hop.church","+628551277000","http://hop.church/","prayer_ministry","google_places","contact@hop.church"
"Team GBI Graha Bethany","GBI Graha Bethany","No, Jl. Pajajaran No.kav 8, Cibatu, Cikarang Sel., Kabupaten Bekasi, Jawa Barat 17530, Indonesia","sekertariatgbilc@gmail.com","+628118000538","http://www.gbilc.com/","prayer_ministry","google_places","sekertariatgbilc@gmail.com"
"Team Ministry of Foreign Affairs of the Republic of Indonesia","Ministry of Foreign Affairs of the Republic of Indonesia","Jl. Taman Pejambon No.9, RT.9/RW.5, Senen, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10410, Indonesia","","+62213441508","","prayer_ministry","google_places",""
"Team Nafiri Discipleship Church - NDC Green Ville","Nafiri Discipleship Church - NDC Green Ville","Komp. Green Ville Maisonette Blok FA No. 4-7, Jalan Tanjung Duren Barat, RT.13/RW.9, Duri Kepa, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11510, Indonesia","prayer@ndcministry.org","+62215656233","http://ndcministry.org/","prayer_ministry","google_places","prayer@ndcministry.org"
"Team Every Nation Kelapa Gading","Every Nation Kelapa Gading","Jl. Raya Kelapa Nias No.6 2nd Floor Room A30-32, RT.8/RW.6, West Kelapa Gading, Kelapa Gading, North Jakarta City, Jakarta 14240, Indonesia","","+6285175436935","http://linktr.ee/enkg","prayer_ministry","google_places",""
"Team IES West","IES West","Bali United (Wisma Achilles, Jl. Panjang Jl. Kedoya Raya No.29 6th Floor, RT.8/RW.1, South Kedoya, Jakarta, West Jakarta City, Jakarta 11520, Indonesia","","+622129290808","https://instagram.com/ieswestofficial","prayer_ministry","google_places",""
"Team Glow Fellowship Centre","Glow Fellowship Centre","Thamrin Residence, Jalan Thamrin Residence Apartment LT. 3A, RT.3/RW.8, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230, Indonesia","","+622129937555","https://www.instagram.com/glowfellowshipcentre","prayer_ministry","google_places",""
"Team Good Shepherd Sister Foundation","Good Shepherd Sister Foundation","QVJ7+3PQ, RT.7/RW.1, Kampung Melayu, Jatinegara, East Jakarta City, Jakarta 13320, Indonesia","","+62218572044","","prayer_ministry","google_places",""
"Team Wellness Counseling and Education Center","Wellness Counseling and Education Center","Jakarta, Ruko Villa Gading Indah, Jl. Boulevard Bukit Gading Raya A2 no 5, RT.6/RW.14, Klp. Gading Bar., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240, Indonesia","ehwijaya@live.com","+6281519099558","http://www.3wellness.com/","prayer_ministry","google_places","ehwijaya@live.com"
"Team Shekinah Catholic Charismatic Center Jakarta Kompleks Duta Merlin","Shekinah Catholic Charismatic Center Jakarta Kompleks Duta Merlin","Komplek Duta Merlin Blok B No. 41-43, Jl. Gajah Mada No.3-5, RT.2/RW.8, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130, Indonesia","","+62216337122","https://www.bpkkaj.com/","prayer_ministry","google_places",""
"Team IICET Indonesian Institute For Counseling, Education And Therapy","IICET Indonesian Institute For Counseling, Education And Therapy","Jl. Bunda II No.19, Ulak Karang Utara, Kec. Padang Utara, Kota Padang, Sumatera Barat 25130, Indonesia","info@iicet.org","+627518970975","http://iicet.org/","prayer_ministry","google_places","info@iicet.org"
"Team Jakarta International Christian Fellowship","Jakarta International Christian Fellowship","Jl. Jenderal Sudirman No.58 5, RT.5/RW.3, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190, Indonesia","info@jicf.org","+62212526719","https://www.jicf.org/","prayer_ministry","google_places","info@jicf.org"
"Team International Wellbeing Center","International Wellbeing Center","Dharmawangsa Square. 3rd floor, unit 336-337, Jl. Darmawangsa VI No.RT.5, RT.5/RW.1, Pulo, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160, Indonesia","info@internationalwellbeingcenter.com","+6281290529034","http://www.internationalwellbeingcenter.com/","prayer_ministry","google_places","info@internationalwellbeingcenter.com"
"Team Lifespring Counseling & Care Center (Tanjung Duren)","Lifespring Counseling & Care Center (Tanjung Duren)","Jl. Tanjung Duren Raya No.Kav 5-9, RT.3/RW.5, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470, Indonesia","Lifespringkonseling@gmail.com","+6285105199922","http://www.lifespringkonseling.com/","prayer_ministry","google_places","Lifespringkonseling@gmail.com"
"Team Ministry Of Women Empowerment And Child Protection","Ministry Of Women Empowerment And Child Protection","Jl. Medan Merdeka Barat No.15, RT.2/RW.3, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10160, Indonesia","","+62213805563","http://www.kemenpppa.go.id/","prayer_ministry","google_places",""
"Team IPEKA Counseling Center","IPEKA Counseling Center","Kompleks Daan Mogot Baru Jl. Tampak Siring Blok KJL, 12, RT./RW:/RW.02, Kalideres, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11840, Indonesia","","+622129669111","https://ipeka.org/counseling-center-profile/","prayer_ministry","google_places",""
"Team Bandung Counseling Service","Bandung Counseling Service","Komp. Cikawao Permai, Jl. Cikawao B-11 No.23, Paledang, Kec. Lengkong, Kota Bandung, Jawa Barat 50261, Indonesia","","+62224262728","http://bcs2010.20m.com/","prayer_ministry","google_places",""
"Team Lembaga Araxie Center Ministry Indonesia","Lembaga Araxie Center Ministry Indonesia","Jl. Akasia I No.4 Blok C, RT.001/RW.015, Pengasinan, Bekasi Timur, Bekasi, West Java 17115, Indonesia","araxiebless3@gmail.com","+6288292053880","https://araxieministry.com/","prayer_ministry","google_places","araxiebless3@gmail.com"
"Team Christ the King Church","Christ the King Church","SOPO DEL, Jl. Mega Kuningan Barat III No.Lot 10 1, RT.3/RW.6, Kuningan, Kuningan Tim., Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12950, Indonesia","user@domain.com","+6281298706478","https://www.ctkchurch.id/","prayer_ministry","google_places","user@domain.com"
"Team MCUI Sahid Sudirman","MCUI Sahid Sudirman","Jl. Sahid Sudirman No.86 Sahid Sudirman Centre, RT.10/RW.11, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250, Indonesia","","","","prayer_ministry","google_places",""
"Team Dharmawangsa RSKJ Mental Health Hospital","Dharmawangsa RSKJ Mental Health Hospital","RSK Dharmawangsa Jl. Dharmawangsa Raya No.13 5, RT.5/RW.2, Pulo, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160, Indonesia","hospital@rsdharmawangsa.com","+62217394484","http://www.rsdharmawangsa.com/","prayer_ministry","google_places","hospital@rsdharmawangsa.com"
"Team STT Reformed Indonesia — STTRI","STT Reformed Indonesia — STTRI","Jl. Kemang Utara IX No.10 RT.1/RW.1, Duren Tiga (masuk lewat jl. Kemang Utara X), RT.1/RW.1, Duren Tiga, Pancoran, South Jakarta City, Jakarta 12760, Indonesia","","+62217982819","http://www.reformedindonesia.ac.id/","prayer_ministry","google_places",""
"Team Covenant City Church Jakarta","Covenant City Church Jakarta","RR8J+9J7 MNC Tower, RT.15/RW.7, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340, Indonesia","covenantcityc@gmail.com","","https://www.covenantcitychurch.id/","prayer_ministry","google_places","covenantcityc@gmail.com"
"Team DPA GBI","DPA GBI","Graha Bethel Lt.2, Jln Jend. A. Yani Kav No.65, RT.8/RW.3, Cemp. Putih Tim., Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10510, Indonesia","","+622142876134","http://www.dpagbi.net/","prayer_ministry","google_places",""
"Team Gereja Pantekosta di Indonesia Qinnamon","Gereja Pantekosta di Indonesia Qinnamon","Gg. Secang Jl. Utan Kayu Raya No.4, RT.11/RW.5, Utan Kayu Utara, Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13120, Indonesia","","+622147865586","","prayer_ministry","google_places",""
"Team Ikatan Konselor Indonesia","Ikatan Konselor Indonesia","4932+FR7, Jl. Prof. Dr. Hamka, Air Tawar Bar., Kec. Padang Utara, Kota Padang, Sumatera Barat 25173, Indonesia","","+6275441650","","prayer_ministry","google_places",""
"Team Keuskupan Bogor","Keuskupan Bogor","Jl. A. Yani No.31, RT.04/RW.04, Tanah Sareal, Kota Bogor, Jawa Barat 16161, Indonesia","komsosbogor@gmail.com","+622518331117","http://keuskupanbogor.org/","prayer_ministry","google_places","komsosbogor@gmail.com"
"Team Kementerian Kesehatan RI","Kementerian Kesehatan RI","Jl. H. R. Rasuna Said Blok Kav No.4-9, RT.1/RW.2, Kuningan, Kuningan Tim., Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12950, Indonesia","","","","prayer_ministry","google_places",""
"Team Warteg Doa Ibu","Warteg Doa Ibu","Jl. Cisanggiri IV, Jatireja, Kec. Cikarang Tim., Kabupaten Bekasi, Jawa Barat 17530, Indonesia","","","","prayer_ministry","google_places",""
"Team Center for Talent Training of the Ministry of Communication and Digital Affairs","Center for Talent Training of the Ministry of Communication and Digital Affairs","Jl. Sekolah Hijau Jl. Jababeka Raya No.2, Simpangan, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530, Indonesia","","+622128645000","","prayer_ministry","google_places",""
"Team Hope Counseling and Assessment Center","Hope Counseling and Assessment Center","Gedung HOPE, Universitas Pelita Harapan, Lippo Village, Jl. M.H. Thamrin No.1100 lantai 1, Klp. Dua, Kecamatan Kelapa Dua, Kabupaten Tangerang, Banten 15811, Indonesia","konselinghope@gmail.com","+62215461078","https://hopecounseling.id/","prayer_ministry","google_places","konselinghope@gmail.com"
"Team Gading Counseling & Empowerment Center","Gading Counseling & Empowerment Center","blok U 1, Gading Bukit Indah, sebelah RS Mitra, Jl. Raya Bukit Gading No.1, RT.18/RW.8, Klp. Gading Bar., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240, Indonesia","","+622129574201","http://www.gadingkonseling.org/","prayer_ministry","google_places",""
"Team Indonesian Psychological Healthcare Center - IndoPsyCare","Indonesian Psychological Healthcare Center - IndoPsyCare","Bursa efek indonesia, Jl. Jend. Sudirman kav 52-53 Tower 1, 28th Floor, Unit 2805, RT.5/RW.3, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190, Indonesia","","+6281215113685","http://www.indopsycare.com/","prayer_ministry","google_places",""
"Team Japanese SME's Center (PT Forval Indonesia)","Japanese SME's Center (PT Forval Indonesia)","Jl. Kenari Raya Block G6-01 Kawasan Industri Delta Silicon 6, Cibatu, Cikarang Sel., Kabupaten Bekasi, Jawa Barat 17530, Indonesia","recruit@forval.co.jp","+622129453842","http://www.forval.co.jp/english/company/","prayer_ministry","google_places","recruit@forval.co.jp"
"Team PT Dairygold Indonesia","PT Dairygold Indonesia","Jl. Jababeka III No.18 C Blok C, Pasirgombong, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530, Indonesia","cheesy@dairygold.co.id","+62218935502","http://cheesykeju.com/","prayer_ministry","google_places","cheesy@dairygold.co.id"
"Team PT Mondelēz Indonesia Manufacturing","PT Mondelēz Indonesia Manufacturing","Jl. Jababeka VII Kav-K2, Wangunharja, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530, Indonesia","","+62218935340","","prayer_ministry","google_places",""
